# Notes: Data obtained In-Cell Western (see Methods and Materials).
# Notes: All data normalized between 0 and 100.
# Notes: 0 indicates basal value; 100 indicates peak value for one signal across all conditions.
# Notes: 0 signal in pErbB1 indicate undetectable levels.

Condition: High (5e-9 M) EGF Measured Signal: pAkt
Time (min)	Signal	Standard Error
0	0	0
2.5	0	0
5	24	0.26
7.5	34	0.59
10	40	2.2
15	50	2
30	64	1.4
45	52	3.4
60	49	2.2
1.2e+02	57	7.3

Condition: High (5e-9 M) EGF Measured Signal: pErbB1
Time (min)	Signal	Standard Error
0	0	0
2.5	65	7.3
5	72	6.7
7.5	75	8.8
10	77	4.6
15	83	4.6
30	87	2.4
45	98	2.3
60	87	13
1.2e+02	86	13

Condition: High (5e-9 M) EGF Measured Signal: pERK
Time (min)	Signal	Standard Error
0	0	0
2.5	60	0.36
5	88	1.8
7.5	97	1.4
10	98	1.1
15	86	3
30	65	2.7
45	56	2.8
60	50	3.6
1.2e+02	46	1.4

Condition: High (5e-9 M) HRG Measured Signal: pAkt
Time (min)	Signal	Standard Error
0	0	0
2.5	45	4.6
5	79	3.1
7.5	86	4.5
10	97	3.1
15	91	2.8
30	85	2.7
45	72	2.5
60	73	1.7
1.2e+02	68	2.2

Condition: High (5e-9 M) HRG Measured Signal: pErbB1
Time (min)	Signal	Standard Error
0	0	0
2.5	0	0
5	0	0
7.5	0	0
10	0	0
15	0	0
30	0	0
45	0	0
60	0	0
1.2e+02	0	0

Condition: High (5e-9 M) HRG Measured Signal: pERK
Time (min)	Signal	Standard Error
0	0	0
2.5	9.7	3.3
5	46	6.7
7.5	58	1.8
10	54	3.9
15	26	4.2
30	27	2.6
45	24	1.1
60	23	0.84
1.2e+02	17	2.2

Condition: Low (1e-11 M) EGF Measured Signal: pAkt
Time (min)	Signal	Standard Error
0	0	0
2.5	1.7	0.88
5	44	11
7.5	43	5.5
10	50	3
15	45	4.4
30	35	5
45	40	14
60	28	9.6
1.2e+02	28	5.5

Condition: Low (1e-11 M) EGF Measured Signal: pErbB1
Time (min)	Signal	Standard Error
0	0	0
2.5	0	0
5	0	0
7.5	0	0
10	0	0
15	0	0
30	0	0
45	0	0
60	0	0
1.2e+02	0	0

Condition: Low (1e-11 M) EGF Measured Signal: pERK
Time (min)	Signal	Standard Error
0	0	0
2.5	8.8	2.2
5	43	8.8
7.5	46	5.7
10	40	3.2
15	26	2.4
30	27	0.28
45	18	3.5
60	11	2.4
1.2e+02	2.7	0.65

Condition: Low (1e-10 M) HRG Measured Signal: pAkt
Time (min)	Signal	Standard Error
0	0	0
2.5	0	0
5	27	4.5
7.5	35	7.6
10	40	3.5
15	46	3.5
30	39	1.5
45	25	13
60	23	13
1.2e+02	27	12

Condition: Low (1e-10 M) HRG Measured Signal: pErbB1
Time (min)	Signal	Standard Error
0	0	0
2.5	0	0
5	0	0
7.5	0	0
10	0	0
15	0	0
30	0	0
45	0	0
60	0	0
1.2e+02	0	0

Condition: Low (1e-10 M) HRG Measured Signal: pERK
Time (min)	Signal	Standard Error
0	0	0
2.5	7.9	4.2
5	41	1
7.5	37	8.1
10	27	4.6
15	17	1.4
30	15	0.94
45	9.4	1.6
60	13	2.9
1.2e+02	11	2.1

