Fit ID	189	412	2137	2177	2162	2041	376	2132	884	609	667	747	757	816	236	915	750	608	2055	270	
c1	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	
c105	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	
c107	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	
c109	1.20e+09	3.37e+08	7.55e+06	1.69e+08	1.69e+05	3.00e+08	1.34e+06	9.50e+06	1.20e+06	6.73e+05	2.39e+05	2.68e+05	3.37e+05	1.20e+05	1.20e+05	1.20e+05	1.69e+05	1.90e+05	2.39e+05	4.76e+05	
c113	4.50e+05	4.50e+05	8.00e+05	4.50e+05	1.42e+06	4.50e+05	4.50e+05	4.50e+05	4.50e+05	4.50e+05	4.50e+05	4.50e+05	4.50e+05	4.50e+05	4.50e+05	4.50e+05	4.50e+05	4.50e+05	4.50e+05	4.50e+05	
c12	2.01e+07	4.01e+05	5.66e+03	1.13e+08	8.00e+04	4.50e+03	2.53e+05	4.01e+07	7.13e+06	4.01e+05	2.53e+05	4.50e+06	2.53e+05	2.53e+05	6.35e+06	2.25e+08	1.01e+05	1.13e+06	2.53e+05	1.79e+08	
c14	7.55e+05	3.01e+06	1.07e+06	1.20e+08	1.07e+06	5.35e+05	1.69e+06	6.00e+05	2.13e+06	2.13e+06	6.73e+05	5.35e+06	2.68e+06	6.00e+06	2.39e+06	3.37e+06	9.51e+05	2.68e+06	1.07e+08	4.77e+06	
c140	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	
c141	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	
